delivery_date,loaded_vehicles
2023-06-13,1661
2023-06-14,1747
2023-06-15,1611
2023-06-16,1630
2023-06-17,925
2023-06-19,888
2023-06-20,1689
2023-06-21,1749
2023-06-22,1672
2023-06-23,1600
2023-06-24,539
2023-06-25,1
2023-06-26,1042
2023-06-27,1668
2023-06-28,1744
2023-06-29,1494
2023-06-30,1605
2023-07-01,835
2023-07-03,681
2023-07-04,1597
2023-07-05,1690
2023-07-06,1618
2023-07-07,1651
2023-07-08,925
2023-07-10,849
2023-07-11,1720
2023-07-12,1731
2023-07-13,1657
2023-07-14,1673
2023-07-15,942
2023-07-17,820
2023-07-18,1713
2023-07-19,1701
2023-07-20,1639
2023-07-21,1516
2023-07-22,875
2023-07-24,808
2023-07-25,1784
2023-07-26,1690
2023-07-27,1743
2023-07-28,1753
2023-07-29,1059
2023-07-31,929
2023-08-01,1726
2023-08-02,1722
2023-08-03,1712
2023-08-04,1688
2023-08-05,996
2023-08-07,844
2023-08-08,1894
2023-08-09,1873
2023-08-10,1838
2023-08-11,1789
2023-08-12,981
2023-08-14,805
2023-08-15,1610
2023-08-16,1724
2023-08-17,1731
2023-08-18,1734
2023-08-19,968
2023-08-21,829
2023-08-22,1815
2023-08-23,1745
2023-08-24,1783
2023-08-25,1719
2023-08-26,983
2023-08-28,959
2023-08-29,1873
2023-08-30,1913
2023-08-31,1842
2023-09-01,1601
2023-09-02,1045
2023-09-04,852
2023-09-05,2043
2023-09-06,2063
2023-09-07,31
2023-09-08,2066
2023-09-09,1376
2023-09-10,3
2023-09-11,979
2023-09-12,2000
2023-09-13,2017
2023-09-14,1908
2023-09-15,1803
2023-09-16,939
2023-09-17,1
2023-09-18,935
2023-09-19,1885
2023-09-20,1914
2023-09-21,1782
2023-09-22,1884
2023-09-23,1016
2023-09-25,985
2023-09-26,2066
2023-09-27,2056
2023-09-28,1990
2023-09-29,1901
2023-09-30,1104
2023-10-01,1
2023-10-02,711
2023-10-03,1846
2023-10-04,1945
2023-10-05,1759
2023-10-06,1893
2023-10-07,1063
2023-10-08,2
2023-10-09,1039
2023-10-10,2217
2023-10-11,2069
2023-10-12,23
2023-10-13,2153
2023-10-14,1332
2023-10-16,1208
2023-10-17,2120
2023-10-18,2076
2023-10-19,1930
2023-10-20,1962
2023-10-21,1097
2023-10-23,1023
2023-10-24,2056
2023-10-25,2070
2023-10-26,2023
2023-10-27,1955
2023-10-28,1103
2023-10-30,1299
2023-10-31,2139
2023-11-01,1970
2023-11-02,17
2023-11-03,2064
2023-11-04,1287
2023-11-05,3
2023-11-06,1149
2023-11-07,2168
2023-11-08,2137
2023-11-09,2018
2023-11-10,2033
2023-11-11,1115
2023-11-13,1092
2023-11-14,2328
2023-11-15,66
2023-11-16,2281
2023-11-17,2243
2023-11-18,1517
2023-11-19,18
2023-11-20,1241
2023-11-21,2096
2023-11-22,2166
2023-11-23,2102
2023-11-24,2017
2023-11-25,1164
2023-11-27,1180
2023-11-28,2204
2023-11-29,2140
2023-11-30,2159
2023-12-01,1893
2023-12-02,1131
2023-12-04,903
2023-12-05,2241
2023-12-06,2181
2023-12-07,2116
2023-12-08,1621
2023-12-09,1160
2023-12-11,1106
2023-12-12,2402
2023-12-13,2250
2023-12-14,2269
2023-12-15,2156
2023-12-16,1331
2023-12-17,3
2023-12-18,1453
2023-12-19,2395
2023-12-20,2400
2023-12-21,2286
2023-12-22,2232
2023-12-23,1437
2023-12-24,3
2023-12-26,1393
2023-12-27,2527
2023-12-28,2568
2023-12-29,2279
2023-12-30,1552
2024-01-02,179
2024-01-03,2051
2024-01-04,1952
2024-01-05,1995
2024-01-06,987
2024-01-08,1091
2024-01-09,2117
2024-01-10,2079
2024-01-11,1913
2024-01-12,1875
2024-01-13,1074
2024-01-15,935
2024-01-16,1902
2024-01-17,1980
2024-01-18,1884
2024-01-19,1825
2024-01-20,998
2024-01-21,1
2024-01-22,879
2024-01-23,2022
2024-01-24,1936
2024-01-25,1932
2024-01-26,1888
2024-01-27,992
2024-01-28,4
2024-01-29,1003
2024-01-30,2056
2024-01-31,1885
2024-02-01,1913
2024-02-02,1884
2024-02-03,1089
2024-02-05,916
2024-02-06,2055
2024-02-07,2084
2024-02-08,2028
2024-02-09,1982
2024-02-10,1348
2024-02-12,622
2024-02-13,13
2024-02-14,1861
2024-02-15,1975
2024-02-16,1893
2024-02-17,1079
2024-02-19,967
2024-02-20,1963
2024-02-21,1873
2024-02-22,1808
2024-02-23,1763
